game,tanggal_rilis,pengembang,genres,penjualan_dalam_juta,harga_asli_dalam_usd,harga_diskon_dalam_usd,win_support,mac_support,lin_support,nama_depan,nama_belakang,nickname_game,total_hadiah_dalam_usd,asal_negara,benua
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Peter,Rasmussen,dupreeh,1822989.41,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Andreas,Højsleth,Xyp9x,1799288.57,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Nicolai,Reedtz,dev1ce,1787489.88,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Lukas,Rossander,gla1ve,1652350.75,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Emil,Reif,Magisk,1416448.64,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Finn,Andersen,karrigan,964635.39,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Markus,Kjærbye,Kjaerbye,617000.5,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Renè,Borg,cajunb,417465.86,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Kristian,Wienecke,k0nfig,403005.81,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Mathias,Lauridsen,MSL,349557.33,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Philip,Aistrup,aizy,332671.67,"Denmark, Kingdom of",Europe
Counter-Strike: Global Offensive,2012-08-21,Valve;Hidden Path Entertainment,Action;Free to Play,0.0,0.0,0.0,1.0,1.0,1.0,Valdemar,Vangså,Valde,323423.04,"Denmark, Kingdom of",Europe
Dota 2,2013-07-09,Valve,Action;Free to Play;Strategy,0.0,0.0,0.0,1.0,1.0,1.0,Johan,Sundstein,N0tail,6952596.58,"Denmark, Kingdom of",Europe
